login;birthday
W3901N6309;09.01.1974
W3901N6320;20.09.1994
W3901N6330;13.07.1983
W3901N6331;19.05.1981
W3901N6378;28.07.1997
W3901N6397;14.03.1967
W3901N6412;12.03.1969
W3901N6437;21.01.1973
W3901N6438;11.08.1969
W3901N6459;12.01.1988
W3901N6464;13.02.1998
W3901N6479;11.11.1980
W3901N6495;13.12.1997
W3901N6496;20.04.1972
W3901N6553;19.05.1976
W3901N6554;02.11.1981
W3901N6584;28.08.2003
W3901N6587;12.06.2003
W3901N6592;25.04.1990
W3901N6596;12.12.1975
W3901N6631;04.02.1988
W3901N6638;09.03.1981
W3901N6643;28.10.1987
W3901N6644;28.02.1988
W3901N6654;25.09.1992
W3901N6699;25.10.1967
W3901N6700;18.03.1974
W3901N6701;02.12.1967
W3901N6702;13.08.2000
W3901N6703;12.12.1994
W3901N6741;25.04.1979
W3901N6745;20.07.1988
W3901N773;06.03.1984 23:00
W4001N1205;16.01.1976
W4001N1211;10.12.1994 23:00
W4001N1379;05.08.1980
W4001N1877;12.05.1975
W4001N2239;27.02.1979
W4001N2255;28.05.1995
W4001N2417;05.04.1978
W4001N2940;03.05.1987
W4001N3656;09.10.1984
W4001N3673;18.11.1977
W4001N3857;27.04.1987
W4001N3964;07.08.1983
W4001N3978;05.02.1989
W4001N4003;23.12.1978
W4001N4006;09.09.1979
W4001N4025;08.04.1973
W4001N4058;18.02.1981
W4001N4080;17.07.1976
W4001N4096;30.12.1993
W4001N4147;28.08.1993
W4001N4284;04.06.1980
W4001N4350;14.12.1979
W4001N4474;05.11.1985
W4001N4478;26.12.1977
W4001N4498;25.12.1979
W4001N4703;14.10.1978
W4001N4756;13.05.1985
W4001N4760;26.09.1977
W4001N4793;25.11.1977
W4001N4810;24.09.1978
W4001N4813;04.09.1977
W4001N4873;25.03.1983
W4001N4923;02.08.1991
W4001N4948;02.03.1985
W4001N5005;12.03.1980
W4001N5011;07.02.1974
W4001N5025;13.08.1979
W4001N5027;26.03.1980
W4001N5028;12.05.1986
W4001N5261;21.01.1981
W4001N5262;17.12.1982
W4001N5282;05.12.1976
W4001N5313;03.12.1972
W4001N5334;24.03.1984
W4001N5352;13.03.1987
W4001N5448;02.10.1988
W4001N5479;16.07.1970
W4001N5609;21.12.1970
W4001N5658;06.11.1996
W4001N5833;30.06.1991
W4001N5967;17.01.1979
W4001N5988;05.12.1989
W4001N5994;08.03.1982
W4001N6022;04.05.1979
W4001N6038;07.08.1975
W4001N6039;26.05.1982
W4001N6076;08.03.1979
W4001N6193;07.10.1972
W4001N6204;08.11.1990
W4001N6235;17.10.1990
W4001N6410;11.11.1980
W4001N896;14.11.1980
W4001N943;31.10.1981
W4001N971;16.04.1984
W4101N1092;13.01.1985
W4101N1142;27.12.1982
W4101N1201;16.01.1994
W4101N1239;23.09.1990
W4101N1460;16.09.1970
W4101N1590;22.08.1984
W4101N1850;23.12.1986
W4101N1949;07.06.1993
W4101N2012;11.02.1980
W4101N2086;18.06.1997
W4101N2235;23.05.1983
W4101N2270;22.04.1996
W4101N2335;05.02.1972
W4101N2366;08.01.1978
W4101N2367;28.02.1986
W4101N2378;28.05.1988
W4101N2385;18.10.1996
W4101N2425;01.07.1992
W4101N2461;10.11.1992
W4101N2477;29.01.1997
W4101N2512;07.02.2002
W4101N2525;15.12.2002
W4101N2552;30.08.1992
W4101N2554;26.11.1994
W4101N2557;08.04.2002
W4101N2560;08.06.1988
W4101N2562;30.09.1980
W4101N2578;04.05.1986
W4101N2725;07.07.2003
W4101N2738;14.10.2003
W4101N2770;10.05.1999
W4101N2874;01.04.1999
W4101N2937;09.01.2001
W4101N2943;01.04.1986
W4101N2947;10.09.1969
W4101N709;03.10.1977
W4101N761;20.12.1984
W4101N930;13.11.1976
W4201N10080;08.12.2003
W4201N10094;13.12.1989
W4201N10095;07.08.1999
W4201N10118;19.10.1980
W4201N10318;16.06.2002
W4201N10323;16.08.1998
W4201N10374;12.05.2003
W4201N10376;26.02.2001
W4201N10394;04.09.2000
W4201N10426;28.10.2001
W4201N10441;17.09.1999
W4201N10475;14.01.2000
W4201N10484;05.01.1990
W4201N10496;06.01.1977
W4201N10499;27.10.1993
W4201N1051;01.08.1981 23:00
W4201N10510;21.09.2001
W4201N10536;02.03.2002
W4201N10549;14.08.1998
W4201N10570;26.01.1991
W4201N10571;22.11.1981
W4201N10639;09.06.2001
W4201N10642;02.08.1984
W4201N10643;04.02.1984
W4201N10648;19.09.1973
W4201N10672;18.07.1990
W4201N10673;18.01.1990
W4201N1072;14.09.1977 23:00
W4201N10783;23.01.2002
W4201N10789;09.09.1972
W4201N10909;27.06.2001
W4201N10915;05.03.1996
W4201N10916;13.12.2003
W4201N10973;12.07.2002
W4201N11095;08.06.1997
W4201N1118;06.07.1979 23:00
W4201N11267;25.05.2000
W4201N11347;17.01.1995
W4201N11421;21.05.1998
W4201N11506;15.05.1997
W4201N11565;29.08.2001
W4201N1168;09.12.1979 23:00
W4201N11800;23.12.2001
W4201N11815;12.04.1999
W4201N1318;02.03.1982 23:00
W4201N1342;03.04.1975
W4201N1378;23.05.1970
W4201N1422;24.11.1980
W4201N2191;01.01.1990 11:00
W4201N2229;22.05.1984 11:00
W4201N2613;31.10.1990 11:00
W4201N284;14.12.1980
W4201N3172;14.07.1977
W4201N3204;12.11.1993
W4201N3330;26.02.1985
W4201N3350;16.08.1977
W4201N3433;12.07.1978
W4201N3504;09.09.1983
W4201N3530;18.01.1970
W4201N3600;02.06.1984
W4201N3675;20.08.1964
W4201N3856;08.11.1963
W4201N3858;07.12.1985
W4201N3962;02.10.1990
W4201N4119;10.08.1986
W4201N4129;27.09.1980
W4201N4138;04.10.1971
W4201N4650;21.03.1968
W4201N4694;21.09.1995
W4201N473;24.10.1968
W4201N4871;05.06.1972
W4201N5143;25.08.1990
W4201N5488;24.02.1990
W4201N5533;31.08.1984
W4201N5626;15.10.1990
W4201N5627;08.05.1982
W4201N5755;11.05.1990
W4201N5779;10.07.1986
W4201N5993;22.08.1989
W4201N6053;04.11.1995
W4201N6092;30.10.1992
W4201N6180;30.04.1994
W4201N6314;08.06.1984
W4201N6315;02.05.1996
W4201N6463;26.12.1988
W4201N6507;16.07.1989
W4201N6651;21.03.1989
W4201N6662;28.02.1994
W4201N671;11.04.1978 23:00
W4201N6744;21.08.1991
W4201N6845;25.10.1985
W4201N688;11.03.1985 23:00
W4201N6911;02.08.2001
W4201N6971;16.11.1977
W4201N7074;21.04.1988
W4201N7105;08.12.1981
W4201N7132;24.02.1988
W4201N7138;07.05.1973
W4201N7144;26.07.1988
W4201N7199;25.12.1996
W4201N7281;25.12.1961
W4201N7289;05.10.1987
W4201N7433;22.02.1985
W4201N7475;05.11.2000
W4201N7476;24.05.1983
W4201N7617;10.05.1987
W4201N7634;01.07.1990
W4201N7670;16.10.1980
W4201N7731;19.05.1995
W4201N7742;02.06.1991
W4201N7848;28.09.1995
W4201N7849;23.09.1989
W4201N7878;07.08.1986
W4201N7913;18.08.1990
W4201N7915;03.11.2000
W4201N7950;06.05.1983
W4201N796;30.12.1989 23:00
W4201N8045;29.11.1990
W4201N8046;27.02.1989
W4201N8202;24.02.1989
W4201N8229;25.02.1986
W4201N8265;04.11.1993
W4201N8266;02.08.1991
W4201N8315;08.01.1990
W4201N8329;25.04.1997
W4201N8354;14.11.1999
W4201N8365;06.03.1985
W4201N8414;08.04.1981
W4201N8435;07.09.1999
W4201N8460;19.02.2001
W4201N8461;12.07.1984
W4201N8479;28.07.1998
W4201N8484;18.05.1997
W4201N8490;18.04.2002
W4201N8514;31.05.2001
W4201N8515;06.06.1991
W4201N8528;22.03.1969
W4201N8536;25.09.1994
W4201N8556;11.11.1982
W4201N8558;03.07.1981
W4201N8564;26.04.2000
W4201N8566;24.08.1997
W4201N8574;20.09.1959
W4201N8665;05.04.1998
W4201N8703;31.03.1980
W4201N8761;03.09.1993
W4201N8807;03.12.1983
W4201N8810;07.07.1992
W4201N8866;23.07.1990
W4201N8881;29.03.2001
W4201N8982;19.11.1980
W4201N9007;16.10.1998
W4201N9030;02.04.2002
W4201N9059;12.03.1999
W4201N9107;04.05.1994
W4201N9119;03.11.1968
W4201N9134;20.07.2002
W4201N9135;15.06.1979
W4201N9138;22.06.1983
W4201N9147;25.05.2001
W4201N9156;09.07.1975
W4201N9157;05.07.2001
W4201N9183;25.11.1998
W4201N9184;20.04.1992
W4201N9189;26.11.2001
W4201N9211;28.10.1974
W4201N9250;16.05.1981
W4201N9251;30.08.1981
W4201N9383;25.10.1975
W4201N9462;23.01.1995
W4201N9562;27.03.1992
W4201N9596;22.02.1975
W4201N9684;08.02.1989
W4201N9783;01.10.1997
W4201N9784;09.05.2004
W4201N9794;10.04.1979
W4201N9816;24.10.1996
W4201N9909;26.06.1995
W4202N10004;06.01.1994
W4202N10029;09.02.1985
W4202N10041;28.09.2000
W4202N10042;25.12.2000
W4202N10050;18.03.1966
W4202N10052;06.02.1989
W4202N10064;17.12.1991
W4202N10065;13.08.1993
W4202N10066;17.02.1972
W4202N10071;18.12.2000
W4202N10075;30.03.2002
W4202N10088;17.12.1986
W4202N10089;10.01.1980
W4202N10091;12.06.1983
W4202N10092;24.03.1971
W4202N10093;09.02.1985
W4202N10094;01.11.1984
W4202N10102;06.01.1976
W4202N10121;01.05.1981
W4202N10122;12.02.1982
W4202N10135;14.03.1994
W4202N10136;15.05.2000
W4202N10139;17.04.1975
W4202N10154;02.07.1972
W4202N10155;02.02.1995
W4202N10158;28.06.1973
W4202N10159;28.03.1977
W4202N10160;25.01.1992
W4202N10163;22.01.1986
W4202N10169;04.08.1997
W4202N10170;23.01.1986
W4202N10174;29.10.2000
W4202N10190;19.05.2002
W4202N10198;02.04.1983
W4202N10199;16.06.1982
W4202N10232;09.09.1987
W4202N10264;03.09.2001
W4202N10339;14.11.1978
W4202N10443;10.07.1991
W4202N10448;01.07.1985
W4202N10453;02.09.2000
W4202N10507;11.02.1993
W4202N10569;12.07.1974
W4202N10675;28.02.1975
W4202N10676;18.01.1972
W4202N10696;08.07.2003
W4202N10707;25.11.1992
W4202N10708;10.08.1979
W4202N10719;15.02.1982
W4202N10724;19.01.1986
W4202N10738;19.02.1973
W4202N10739;28.06.1994
W4202N1500;15.06.1977
W4202N1539;18.09.1975
W4202N1583;26.02.1984
W4202N168;24.05.1976
W4202N1881;13.07.1987
W4202N1894;01.01.1981
W4202N2119;21.12.1981 23:00
W4202N2188;07.11.1980
W4202N2249;09.02.1985 23:00
W4202N2264;01.04.1984 23:00
W4202N2295;02.11.1976
W4202N2399;12.03.1988 23:00
W4202N2408;13.11.1982 23:00
W4202N2437;27.08.1982 23:00
W4202N2479;03.01.1981
W4202N2480;15.04.1973
W4202N2585;21.11.1979 23:00
W4202N2675;20.07.1980
W4202N270;22.02.1980
W4202N2712;20.04.1966
W4202N2805;08.05.1966
W4202N2920;20.02.1985
W4202N2929;20.07.1982
W4202N2942;04.12.1987
W4202N3027;14.03.1990
W4202N324;15.04.1965 23:00
W4202N3338;01.04.1980
W4202N3545;22.01.1980
W4202N3622;23.08.1972
W4202N3728;23.03.1989
W4202N3881;11.08.1983
W4202N4010;07.01.1987
W4202N4086;14.06.1987
W4202N4185;17.06.1988
W4202N4225;09.12.1994
W4202N4283;11.12.1991
W4202N4308;17.12.1985
W4202N4342;14.01.1967
W4202N4594;29.03.1991
W4202N4605;28.05.1972
W4202N4640;03.05.1989
W4202N4645;02.08.1981
W4202N4683;06.05.1984
W4202N4698;09.09.1986
W4202N4748;06.06.1978
W4202N478;13.04.1978
W4202N4782;19.10.1984
W4202N4796;15.05.1983
W4202N4797;23.06.1980
W4202N4912;25.05.1982
W4202N4956;18.12.1989
W4202N4959;27.08.1974
W4202N4993;18.04.1972
W4202N4996;16.06.1992
W4202N5030;12.03.1980
W4202N5049;01.12.1994
W4202N5063;11.08.1991
W4202N5129;01.01.1985
W4202N5201;16.01.1979
W4202N5212;17.04.1985
W4202N5252;18.07.1996
W4202N5255;12.07.1989
W4202N5271;20.10.1986
W4202N5289;30.01.1985
W4202N5342;05.01.1989
W4202N5360;09.09.1980
W4202N5436;20.03.1986
W4202N5437;05.09.1976
W4202N5501;21.10.1981
W4202N5601;02.04.1986
W4202N5648;14.04.1984
W4202N5683;26.04.1997
W4202N5695;09.06.1975
W4202N5713;29.09.1992
W4202N5742;14.01.1994
W4202N5761;31.05.1984
W4202N5885;30.01.1988
W4202N6098;01.04.1981
W4202N6101;22.04.1983
W4202N6184;23.05.1976
W4202N6299;30.11.1987
W4202N6323;01.08.1966
W4202N6412;08.08.1986
W4202N6498;11.03.1980
W4202N6700;01.08.1982
W4202N6701;07.10.1987
W4202N6714;07.08.1988
W4202N6884;12.08.1975
W4202N6886;17.01.1974
W4202N7023;18.01.1970
W4202N7025;27.02.1970
W4202N7026;08.07.1987
W4202N7044;26.08.1971
W4202N7076;26.06.1994
W4202N7089;30.07.1976
W4202N7112;08.11.1977
W4202N7118;28.09.1983
W4202N7123;03.09.1970
W4202N7130;29.12.1990
W4202N7154;10.07.1973
W4202N7201;23.04.1991
W4202N7202;28.06.1979
W4202N7208;25.05.1989
W4202N7221;11.08.1975
W4202N7273;29.04.1984
W4202N7274;06.06.1983
W4202N7436;04.10.1991
W4202N7457;16.11.1994
W4202N7556;28.09.1976
W4202N7604;14.09.1980
W4202N7605;17.07.1990
W4202N7612;09.05.1974
W4202N7619;03.09.2001
W4202N7624;30.03.1987
W4202N7669;23.11.1982
W4202N7697;24.05.1990
W4202N7703;25.01.1988
W4202N7722;26.05.1982
W4202N7790;05.11.1978
W4202N7797;10.08.1986
W4202N7850;11.04.1992
W4202N7867;09.04.1969
W4202N7870;12.12.1973
W4202N7875;14.02.1979
W4202N7952;18.04.1984
W4202N7953;10.02.1986
W4202N8040;01.05.1990
W4202N8068;03.06.2001
W4202N8101;14.10.1985
W4202N8108;15.05.1982
W4202N8118;24.09.1982
W4202N8127;28.03.1976
W4202N8136;09.07.1989
W4202N8150;21.08.1989
W4202N8157;04.07.1996
W4202N8161;16.02.1983
W4202N8164;30.05.1974
W4202N8174;17.02.1985
W4202N8183;14.03.2002
W4202N8185;13.12.2002
W4202N8212;17.10.1975
W4202N8254;29.09.1982
W4202N8299;06.09.1985
W4202N8321;27.06.1987
W4202N8322;23.10.1995
W4202N8323;09.02.1988
W4202N8333;29.11.1981
W4202N8337;06.11.1976
W4202N8338;23.04.1981
W4202N8353;26.03.1991
W4202N8365;28.08.1972
W4202N8395;01.06.1997
W4202N8406;25.11.1988
W4202N8408;23.03.1975
W4202N8410;07.10.1964
W4202N8415;13.06.1996
W4202N8416;25.03.1973
W4202N8417;02.03.1989
W4202N8418;09.02.1977
W4202N8421;15.01.1993
W4202N8424;19.07.1989
W4202N8439;11.03.1994
W4202N8459;14.02.1978
W4202N8461;01.03.1980
W4202N8484;07.07.1997
W4202N8493;04.11.1984
W4202N8499;26.04.1970
W4202N8500;19.02.1998
W4202N8509;15.02.1970
W4202N8512;29.07.1970
W4202N8518;28.03.1979
W4202N8531;23.08.1988
W4202N8536;23.08.2000
W4202N8544;03.02.1988
W4202N8553;08.08.1979
W4202N8554;01.01.1981
W4202N8567;22.05.1986
W4202N8583;12.06.1994
W4202N8588;31.03.1981
W4202N8597;12.02.1987
W4202N8604;21.07.1973
W4202N8628;02.06.1973
W4202N8670;27.12.1992
W4202N8671;10.06.1989
W4202N8675;18.06.1967
W4202N8676;16.04.1962
W4202N8716;30.12.1987
W4202N8717;26.05.1998
W4202N8718;03.05.1987
W4202N8740;14.03.1982
W4202N8752;07.09.1989
W4202N8755;31.01.1989
W4202N8768;31.01.1988
W4202N8769;10.10.1963
W4202N8773;04.08.1973
W4202N8781;12.12.1972
W4202N8783;22.05.1989
W4202N8792;25.12.1999
W4202N8793;25.09.1990
W4202N8801;28.07.1986
W4202N8803;05.10.1989
W4202N8816;28.04.1988
W4202N8819;07.07.1981
W4202N8821;22.10.1980
W4202N8830;22.01.1998
W4202N8841;23.03.2001
W4202N8848;27.06.1987
W4202N8859;03.09.2000
W4202N8867;05.05.1997
W4202N8890;09.08.1977
W4202N8905;16.02.1985
W4202N8919;12.02.1990
W4202N8934;15.07.1994
W4202N8935;28.11.1993
W4202N8958;03.11.1978
W4202N8979;23.04.1981
W4202N8988;05.09.2001
W4202N8989;03.11.1981
W4202N8990;27.11.1977
W4202N9053;12.01.1978
W4202N9054;27.09.1978
W4202N9058;24.01.1979
W4202N9063;14.06.1998
W4202N9076;08.02.1974
W4202N9078;03.05.1982
W4202N9096;29.01.2000
W4202N9106;19.09.1998
W4202N9115;03.12.1967
W4202N9129;05.04.1980
W4202N9131;02.01.1991
W4202N9132;20.08.2002
W4202N9139;06.06.1995
W4202N9144;31.12.1998
W4202N9160;04.04.2002
W4202N9167;01.11.1968
W4202N9168;05.08.1976
W4202N9169;14.02.1992
W4202N9190;25.09.1976
W4202N9199;29.01.1997
W4202N9218;14.03.2003
W4202N9228;01.10.2000
W4202N9229;09.02.1999
W4202N9230;04.11.1999
W4202N9235;05.04.1993
W4202N9238;14.12.1985
W4202N9245;05.07.1983
W4202N9260;25.01.2002
W4202N9262;20.01.1999
W4202N9265;15.06.1995
W4202N9274;11.10.1994
W4202N9275;03.08.2001
W4202N9276;03.05.1981
W4202N9279;08.03.1995
W4202N9304;16.11.2003
W4202N9312;04.01.1975
W4202N9330;12.03.1999
W4202N9344;26.02.1977
W4202N9354;23.04.1978
W4202N9362;19.11.2001
W4202N9367;03.02.1980
W4202N9368;08.05.1973
W4202N9387;27.09.1969
W4202N9388;12.03.1966
W4202N9397;28.04.1989
W4202N9410;12.08.1987
W4202N9411;09.11.1985
W4202N9438;19.06.1986
W4202N9507;24.07.1982
W4202N9591;14.10.1991
W4202N9614;26.02.1991
W4202N9616;20.01.1998
W4202N9619;16.05.1964
W4202N9670;20.04.1988
W4202N9671;13.05.1988
W4202N9694;11.05.1970
W4202N9704;16.05.1984
W4202N9705;04.05.1966
W4202N9824;17.07.1995
W4202N9886;03.05.2002
W4202N9887;13.02.1993
W4202N9925;25.03.1999
W422103;31.01.1974
W422560;22.11.1980
W4301N10242;09.11.1992
W4301N10243;22.09.1983
W4301N10245;06.09.1967
W4301N10262;14.09.1986
W4301N10270;14.09.1980
W4301N10294;08.11.1983
W4301N10309;18.12.1983
W4301N10369;27.12.1979
W4301N10395;23.10.1988
W4301N10412;04.01.1993
W4301N10423;26.08.1995
W4301N10434;13.01.1994
W4301N10516;07.03.1998
W4301N10534;31.05.1992
W4301N10616;27.06.1972
W4301N10640;11.09.1983
W4301N10662;07.06.1985
W4301N10666;28.03.1991
W4301N10673;15.02.1990
W4301N10681;08.02.1983
W4301N10710;30.06.1960
W4301N10734;20.05.1998
W4301N10754;10.09.1980
W4301N10800;17.11.1982
W4301N10805;03.12.1987
W4301N10809;18.09.1957
W4301N10878;01.08.1978
W4301N10885;03.12.1994
W4301N10886;14.07.1960
W4301N10894;07.10.1972
W4301N10921;13.06.1988
W4301N10923;17.12.1974
W4301N10924;10.10.1989
W4301N10937;22.09.1962
W4301N10956;14.03.1987
W4301N10988;27.03.1959
W4301N10992;16.03.1981
W4301N10997;03.02.1991
W4301N11002;19.03.1985
W4301N11003;30.12.1984
W4301N11005;24.12.1990
W4301N11006;04.08.1993
W4301N11008;04.03.1985
W4301N11009;04.04.1985
W4301N11010;01.05.1992
W4301N11011;02.06.1993
W4301N11012;06.07.1992
W4301N11013;29.04.1986
W4301N11025;28.09.1991
W4301N11031;15.11.1986
W4301N11033;13.03.1992
W4301N11034;09.06.1986
W4301N11037;24.11.1986
W4301N11048;07.08.1986
W4301N11050;27.03.1986
W4301N11055;16.04.1993
W4301N11061;14.09.1981
W4301N11110;22.07.1996
W4301N11129;09.04.1979
W4301N11140;06.11.1996
W4301N11143;04.12.1988
W4301N11147;31.03.1996
W4301N11156;05.07.1975
W4301N11157;24.03.1991
W4301N11158;12.06.1984
W4301N11159;03.12.1975
W4301N11163;16.08.1974
W4301N11177;11.12.1992
W4301N11204;04.03.1986
W4301N11210;11.02.1984
W4301N11213;01.07.1986
W4301N11224;10.04.1985
W4301N11230;26.07.1977
W4301N11259;23.12.1975
W4301N11277;19.01.1980
W4301N11304;27.02.1987
W4301N11310;03.02.1973
W4301N11312;10.12.1981
W4301N11344;29.07.1992
W4301N11358;17.11.1973
W4301N11368;27.03.1993
W4301N11381;07.08.1989
W4301N11385;03.05.1989
W4301N11386;07.05.1987
W4301N11416;23.03.1981
W4301N11480;11.08.1981
W4301N11512;31.05.1976
W4301N11581;30.12.1999
W4301N11584;03.07.1986
W4301N11613;11.07.1982
W4301N11616;06.02.1965
W4301N11635;20.09.1996
W4301N11636;08.02.1983
W4301N11661;04.06.1989
W4301N11699;11.06.1986
W4301N11701;30.08.1993
W4301N11732;26.06.2002
W4301N11759;24.05.2002
W4301N11760;25.01.1996
W4301N11762;15.05.1993
W4301N11784;04.12.1976
W4301N11789;20.01.1982
W4301N11838;15.08.1969
W4301N11840;16.08.1966
W4301N11845;03.02.1982
W4301N11851;13.03.1985
W4301N11862;22.01.1987
W4301N11863;08.07.1981
W4301N11864;07.05.1984
W4301N11865;21.01.1987
W4301N11866;13.04.1979
W4301N11867;03.01.1986
W4301N11868;26.08.1993
W4301N11870;28.10.1982
W4301N11871;28.03.1986
W4301N11872;28.09.1976
W4301N11873;31.03.1978
W4301N11874;27.11.1977
W4301N11875;22.04.1970
W4301N11876;31.03.1980
W4301N11877;18.01.1987
W4301N11878;02.09.1988
W4301N11879;20.03.1968
W4301N11880;01.05.1987
W4301N11881;24.05.1978
W4301N11882;13.03.1976
W4301N11883;30.01.1974
W4301N11884;03.01.1986
W4301N11885;03.03.1991
W4301N11886;04.11.1985
W4301N11887;28.08.1984
W4301N11888;12.10.1977
W4301N11889;05.07.1970
W4301N11890;19.12.1968
W4301N11893;08.07.1980
W4301N11894;05.05.1991
W4301N11895;30.06.1966
W4301N11896;08.07.1976
W4301N11900;11.06.1974
W4301N11901;22.02.1987
W4301N11903;03.06.1993
W4301N11906;09.10.1995
W4301N11911;29.01.1989
W4301N11912;23.07.1981
W4301N11913;14.08.1992
W4301N11915;14.03.1992
W4301N11921;16.12.1957
W4301N11932;01.12.1997
W4301N11970;06.01.1983
W4301N11971;10.04.2003
W4301N11986;05.10.1989
W4301N11994;07.03.1985
W4301N12008;18.09.1986
W4301N12009;03.09.2004
W4301N12010;26.03.1994
W4301N12011;01.05.1986
W4301N12016;16.09.1986
W4301N12035;03.09.1977
W4301N12043;22.10.2001
W4301N12058;18.11.1986
W4301N12062;08.12.1970
W4301N12080;10.09.1975
W4301N12208;27.03.1985
W4301N12214;13.07.1990
W4301N12217;12.09.1971
W4301N12228;12.02.1988
W4301N12251;20.11.1979
W4301N12252;10.10.1997
W4301N12264;16.03.1986
W4301N12274;24.04.2003
W4301N12386;09.01.2007
W4301N12433;05.01.2004
W4301N12436;18.01.1971
W4301N12443;29.01.1985
W4301N12444;14.03.1991
W4301N12446;24.10.1986
W4301N12447;29.07.2003
W4301N12461;22.02.1998
W4301N12471;05.06.1990
W4301N1267;05.11.1980 23:00
W4301N1957;01.12.1963
W4301N2608;04.06.1989 23:00
W4301N2803;04.05.1983
W4301N2893;16.01.1980
W4301N2906;10.02.1962
W4301N2968;14.07.1960
W4301N3007;29.05.1976 23:00
W4301N3009;13.02.1979
W4301N3251;03.03.1978
W4301N3467;09.07.1969
W4301N3510;29.04.1982 23:00
W4301N3616;22.01.1971
W4301N3622;19.11.1966
W4301N3923;15.01.1976
W4301N4246;24.07.1974 11:00
W4301N4385;15.11.1986
W4301N4811;03.09.1984
W4301N4871;07.10.1978
W4301N4949;02.11.1981
W4301N5128;11.08.1978
W4301N5308;14.08.1977
W4301N5353;02.04.1982
W4301N5354;09.05.1973
W4301N5383;07.10.1986
W4301N5604;17.01.1965
W4301N5722;17.01.1981
W4301N5868;09.07.1982
W4301N5989;12.07.1979
W4301N6356;07.02.1993
W4301N6436;21.01.1980
W4301N6516;29.05.1986
W4301N6871;29.10.1965
W4301N6974;11.02.1986
W4301N7061;06.08.1986
W4301N7118;30.07.1982
W4301N7150;21.06.1984
W4301N7151;30.06.1976
W4301N7172;10.01.1980
W4301N7277;15.03.1977
W4301N7357;05.08.1993
W4301N7380;26.10.1988
W4301N7383;26.03.1979
W4301N7570;01.08.1987
W4301N7571;16.06.1992
W4301N7574;29.09.1974
W4301N7613;15.09.1985
W4301N7666;15.07.1979
W4301N7818;02.06.1971
W4301N7847;16.06.1976
W4301N7864;13.09.1969
W4301N8085;31.12.1983
W4301N8171;21.10.1992
W4301N8208;08.09.1992
W4301N8219;04.10.1973
W4301N8407;01.07.1979
W4301N8419;13.10.1987
W4301N8480;18.04.1984
W4301N8509;01.05.1982
W4301N8565;04.10.1989
W4301N8590;16.11.1988
W4301N8675;14.12.1982
W4301N8779;06.11.1985
W4301N8780;09.12.1974
W4301N8829;16.09.1966
W4301N8871;11.06.1965
W4301N8876;30.05.1977
W4301N8926;25.05.1994
W4301N8938;31.10.1986
W4301N9001;22.06.1987
W4301N9085;05.12.1974
W4301N9118;21.09.1987
W4301N9121;24.02.1987
W4301N9284;03.11.1977
W4301N9312;10.08.1990
W4301N9477;20.11.1961
W4301N9657;07.11.1978
W4301N9666;05.12.1982
W4301N9671;03.01.1984
W4301N9676;17.02.1987
W4301N9679;02.11.1984
W4301N9698;17.07.1978
W4301N9805;05.10.1973
W4301N9806;04.08.1988
W4301N9865;30.06.1987
W4301N9882;19.12.1975
W4301N9996;03.03.1987
W4401N3228;05.01.1988
W4501N1114;12.11.1981 23:00
W4501N1144;03.05.1978 23:00
W4501N1175;22.09.1981
W4501N1298;21.03.1978
W4501N1500;06.03.1981 23:00
W4501N1501;28.10.1985 23:00
W4501N1642;07.06.1985
W4501N1666;19.10.1986
W4501N1718;04.02.1974
W4501N1777;29.03.1988 23:00
W4501N1800;22.10.1986
W4501N1911;02.07.1971
W4501N1928;23.07.1972
W4501N1975;04.04.1985
W4501N2045;13.05.1982
W4501N2061;28.09.1989
W4501N2101;12.12.1981
W4501N2111;16.08.1969
W4501N2124;23.12.1987
W4501N2126;27.05.1973
W4501N2132;07.05.1979
W4501N2145;13.08.1981
W4501N2152;22.07.1975
W4501N2167;19.05.1976
W4501N2168;02.03.1973
W4501N2177;12.01.1976
W4501N2191;27.01.1969
W4501N2202;11.09.1984
W4501N2244;19.06.1980
W4501N2312;24.12.1981
W4501N2330;26.02.1974
W4501N2457;29.10.1980 11:00
W4501N2467;07.09.1987 11:00
W4501N2514;02.04.1985
W4501N2560;13.06.1992 11:00
W4501N2800;23.06.1971
W4501N2816;03.01.1976
W4501N2831;27.10.1991
W4501N2862;17.04.1971
W4501N2886;04.03.1979
W4501N2910;04.05.1972
W4501N2936;26.02.1984
W4501N2987;18.08.1968
W4501N3052;27.11.1967
W4501N3146;24.11.1975
W4501N3151;01.02.1968
W4501N3215;06.11.1983
W4501N3248;02.12.1967
W4501N3314;07.02.1989
W4501N3359;04.03.1981
W4501N3493;29.03.1984
W4501N3494;20.01.1984
W4501N3548;21.07.1982
W4501N3655;13.01.1987
W4501N3688;28.11.1988
W4501N3746;11.02.1973
W4501N3767;26.04.1988
W4501N3855;16.10.1978
W4501N4058;12.06.1973
W4501N4084;11.02.1987
W4501N4102;12.11.1975
W4501N4150;22.05.1982
W4501N4215;18.02.1988
W4501N4246;07.06.1979
W4501N4306;02.08.1968
W4501N4328;02.03.1971
W4501N4461;15.12.1972
W4501N4474;06.04.1981
W4501N4477;16.04.1982
W4501N4484;26.10.1968
W4501N4511;06.07.1968
W4501N4558;13.11.1988
W4501N4600;17.07.1974
W4501N4623;29.04.1995
W4501N4721;24.03.1969
W4501N4724;24.05.1977
